Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
DELTADRIFT,TRI.TO,Long,Daily,2026-02-09,121.21,,,131.33,8.3491%,,Open,80.0
OSCILLATOR DELTA,PLTR,Long,Daily,2026-02-09,142.91,,,137.19,-4.0025%,,Open,75.0
DELTADRIFT,HOOD,Long,Daily,2026-02-09,86.56,,,75.85,-12.3729%,,Open,75.0
TRENDPULSE,NVDA,Long,Daily,2026-02-09,190.04,,,177.19,-6.7617%,,Open,91.3
OSCILLATOR DELTA,COIN,Long,Daily,2026-02-09,167.25,,,175.85,5.1420%,,Open,75.0
FRACTAL TRACK,EFN.TO,Long,Weekly,2026-02-08,35.65,,,32.49,-8.8640%,,Open,85.71
FRACTAL TRACK,EFN.TO,Long,Weekly,2026-02-08,35.44,,,32.49,-8.3239%,,Open,85.71
FRACTAL TRACK,AAPL,Long,Weekly,2026-02-08,278.12,,,264.18,-5.0122%,,Open,93.75
BASELINEDIVERGENCE,DOL.TO,Long,Weekly,2026-02-08,193.05,,,200.82,4.0249%,,Open,84.81
TRENDPULSE,EFA,Long,Weekly,2026-02-08,102.03,,,105.38,3.2833%,,Open,86.96
TRENDPULSE,^STI,Long,Weekly,2026-02-08,4934.4102,,,4995.0698,1.2293%,,Open,80.0
TRENDPULSE,BPCL.NS,Long,Weekly,2026-02-08,386.35,,,385.4,-0.2459%,,Open,100.0
TRENDPULSE,USO,Long,Weekly,2026-02-08,76.99,,,81.95,6.4424%,,Open,88.24
BAND MATRIX,INDA,Long,Weekly,2026-02-08,53.145,,,52.27,-1.6464%,,Open,100.0
TRENDPULSE,EFA,Long,Weekly,2026-02-08,102.61,,,105.38,2.6995%,,Open,85.71
BASELINEDIVERGENCE,HDFCBANK.NS,Long,Weekly,2026-02-08,941.1,,,887.75,-5.6689%,,Open,82.0
FRACTAL TRACK,META,Long,Weekly,2026-02-08,661.46,,,648.18,-2.0077%,,Open,100.0
FRACTAL TRACK,META,Long,Weekly,2026-02-08,670.21,,,648.18,-3.2870%,,Open,100.0
TRENDPULSE,EEM,Long,Weekly,2026-02-08,60.07,,,62.58,4.1785%,,Open,96.15
TRENDPULSE,MCD,Long,Weekly,2026-02-08,327.16,,,341.06,4.2487%,,Open,100.0
BASELINEDIVERGENCE,DOL.TO,Long,Weekly,2026-02-08,192.27,,,200.82,4.4469%,,Open,84.81
TRENDPULSE,MCD,Long,Weekly,2026-02-08,323.48,,,341.06,5.4346%,,Open,100.0
FRACTAL TRACK,AAPL,Long,Weekly,2026-02-08,275.91,,,264.18,-4.2514%,,Open,93.75
DELTADRIFT,BTC-USD,Long,Daily,2026-02-07,69281.9688,,,65470.7383,-5.5010%,,Open,83.33
DELTADRIFT,NOVA.F,Long,Daily,2026-02-06,39.95,,,31.5,-21.1514%,,Open,83.33
OSCILLATOR DELTA,INFY,Long,Daily,2026-02-06,16.84,,,14.44,-14.2518%,,Open,70.83
DELTADRIFT,PLTR,Long,Daily,2026-02-06,135.9,,,137.19,0.9492%,,Open,88.89
DELTADRIFT,UBER,Long,Daily,2026-02-06,74.77,,,75.42,0.8693%,,Open,100.0
DELTADRIFT,ABNB,Long,Daily,2026-02-06,122.18,2026-02-20,127.89,127.89,4.6734%,14.0,Closed,91.67
FRACTAL TRACK,META,Long,Weekly,2026-02-06,670.21,,,648.18,-3.2870%,,Open,100.0
OSCILLATOR DELTA,NFLX,Long,Daily,2026-02-06,82.2,,,96.24,17.0803%,,Open,72.73
FRACTAL TRACK,EFN.TO,Long,Weekly,2026-02-06,35.65,,,32.49,-8.8640%,,Open,85.71
DELTADRIFT,TRI.TO,Long,Daily,2026-02-06,120.18,2026-02-25,135.92,135.92,13.0970%,19.0,Closed,76.92
DELTADRIFT,IHI,Long,Daily,2026-02-06,58.36,2026-02-18,59.45,59.45,1.8677%,12.0,Closed,85.0
DELTADRIFT,COIN,Long,Daily,2026-02-06,165.12,,,175.85,6.4983%,,Open,88.89
DELTADRIFT,LYFT,Long,Daily,2026-02-06,16.46,,,13.84,-15.9174%,,Open,72.73
DELTADRIFT,KXS.TO,Long,Daily,2026-02-06,126.72,,,129.51,2.2017%,,Open,71.43
BAND MATRIX,INDA,Long,Weekly,2026-02-06,53.145,,,52.27,-1.6464%,,Open,100.0
OSCILLATOR DELTA,IBIT,Long,Daily,2026-02-06,39.68,,,37.19,-6.2752%,,Open,83.33
DELTADRIFT,BTC-USD,Long,Daily,2026-02-06,70555.3906,,,65470.7383,-7.2066%,,Open,80.0
DELTADRIFT,ETH-USD,Long,Daily,2026-02-06,2063.387,,,1921.1412,-6.8938%,,Open,84.62
TRENDPULSE,ARM,Long,Daily,2026-02-06,123.7,2026-02-27,127.45,127.45,3.0315%,21.0,Closed,100.0
BAND MATRIX,NOVA.F,Long,Daily,2026-02-06,39.7,,,31.5,-20.6549%,,Open,75.0
DELTADRIFT,MSFT,Long,Daily,2026-02-06,401.14,,,392.74,-2.0940%,,Open,75.0
DELTADRIFT,INFY,Long,Daily,2026-02-06,16.84,2026-02-23,13.91,13.91,-17.3990%,17.0,Closed,78.57
DELTADRIFT,ETH-USD,Long,Daily,2026-02-06,1978.0664,,,1921.1412,-2.8778%,,Open,86.67
TRENDPULSE,MCD,Long,Weekly,2026-02-06,323.48,,,341.06,5.4346%,,Open,100.0
FRACTAL TRACK,SOXX,Long,Daily,2026-02-06,348.51,,,352.29,1.0846%,,Open,85.71
