Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2022-10-02,144.431,2023-03-26,130.865,2022-09-25,Buy,25 Weeks,-9.39%,Rise by -10.56%,198.88%,Normal Case,
2022-10-16,147.293,2023-03-26,130.865,2022-08-07,Buy,23 Weeks,-11.15%,Rise by -10.14%,187.72%,Local Extrema Case,
2022-10-16,147.293,2023-03-26,130.865,2022-10-09,Buy,23 Weeks,-11.15%,Rise by -10.14%,176.57%,Normal Case,
2022-11-06,148.393,2023-03-26,130.865,2022-10-30,Buy,20 Weeks,-11.81%,Rise by -10.81%,164.76%,Normal Case,
2022-12-11,136.614,2023-03-26,130.865,2022-12-04,Buy,15 Weeks,-4.21%,Rise by 0.07%,160.55%,Normal Case,
2022-12-18,137.751,2023-03-26,130.865,2022-12-11,Buy,14 Weeks,-5.0%,Rise by -0.76%,155.55%,Normal Case,
2023-02-19,134.074,2023-07-16,138.075,2023-02-12,Buy,21 Weeks,2.98%,Rise by 7.99%,158.53%,Normal Case,
2023-02-26,134.628,2023-07-16,138.075,2023-02-19,Buy,20 Weeks,2.56%,Rise by 7.54%,161.09%,Normal Case,
2023-03-05,136.705,2023-07-16,138.075,2023-02-26,Buy,19 Weeks,1.0%,Rise by 5.91%,162.1%,Normal Case,
2023-04-30,133.802,2023-07-16,138.075,2023-04-16,Buy,11 Weeks,3.19%,Rise by 8.2%,165.29%,Normal Case,
2023-05-07,134.179,2023-07-16,138.075,2023-04-30,Buy,10 Weeks,2.9%,Rise by 7.9%,168.19%,Normal Case,
2023-05-14,134.498,2023-07-16,138.075,2023-04-23,Buy,9 Weeks,2.66%,Rise by 7.64%,170.85%,Normal Case,
2023-05-28,140.017,2023-10-22,149.802,2023-05-21,Buy,21 Weeks,6.99%,Rise by 8.09%,177.84%,Normal Case,
2023-07-02,144.78,2023-10-22,149.802,2023-06-25,Buy,16 Weeks,3.47%,Rise by 4.54%,181.31%,Normal Case,
2023-08-06,142.598,2023-10-22,149.802,2023-07-30,Buy,11 Weeks,5.05%,Rise by 6.14%,186.36%,Normal Case,
2023-08-13,144.854,2023-10-22,149.802,2023-08-06,Buy,10 Weeks,3.42%,Rise by 4.48%,189.78%,Normal Case,
2023-08-20,145.714,2023-10-22,149.802,2023-08-13,Buy,9 Weeks,2.81%,Rise by 3.87%,192.58%,Normal Case,
2023-09-24,147.644,2023-12-03,147.999,2023-09-17,Buy,10 Weeks,0.24%,Rise by 2.51%,192.82%,Normal Case,
2023-10-01,149.337,2023-12-03,147.999,2023-09-24,Buy,9 Weeks,-0.9%,Rise by 8.05%,191.93%,Normal Case,
2023-10-08,148.463,2024-02-04,146.451,2023-10-01,Buy,17 Weeks,-1.36%,Rise by 8.69%,190.57%,Normal Case,
2023-10-22,149.802,2024-02-04,146.451,2023-10-15,Buy,15 Weeks,-2.24%,Rise by 7.71%,188.34%,Normal Case,
2023-10-29,150.366,2024-02-04,146.451,2023-07-16,Buy,14 Weeks,-2.6%,Rise by 7.31%,185.73%,Local Extrema Case,
2023-10-29,150.366,2024-02-04,146.451,2023-10-22,Buy,14 Weeks,-2.6%,Rise by 7.31%,183.13%,Normal Case,
2024-01-07,144.765,2024-03-17,148.296,2023-12-31,Buy,10 Weeks,2.44%,Rise by 11.46%,185.57%,Normal Case,
2024-04-14,153.192,2024-07-21,157.15,2024-04-07,Buy,14 Weeks,2.58%,Rise by 5.33%,188.15%,Normal Case,
2024-04-21,154.61,2024-07-21,157.15,2024-04-14,Buy,13 Weeks,1.64%,Rise by 4.36%,189.79%,Normal Case,
2024-06-02,156.953,2024-12-01,151.174,2024-05-26,Buy,26 Weeks,-3.68%,Rise by -0.31%,186.11%,Normal Case,
2024-07-07,161.358,2024-12-01,151.174,2024-06-30,Buy,21 Weeks,-6.31%,Rise by -10.21%,179.8%,Normal Case,
2024-10-13,148.704,2025-01-26,156.155,2024-09-29,Buy,15 Weeks,5.01%,Rise by 6.28%,184.81%,Normal Case,
2024-10-27,151.783,2025-01-26,156.155,2024-10-20,Buy,13 Weeks,2.88%,Rise by 4.13%,187.69%,Normal Case,
2024-11-03,151.98,2025-01-26,156.155,2024-10-27,Buy,12 Weeks,2.75%,Rise by 3.99%,190.44%,Normal Case,
2024-12-15,152.587,2025-08-17,147.691,2024-12-08,Buy,35 Weeks,-3.21%,Rise by -1.19%,187.23%,Normal Case,
2024-12-22,157.644,2025-08-17,147.691,2024-12-15,Buy,34 Weeks,-6.31%,Rise by -4.36%,180.92%,Normal Case,
2025-01-05,157.362,2025-08-17,147.691,2024-12-29,Buy,32 Weeks,-6.15%,Rise by -4.19%,174.77%,Normal Case,
2025-01-12,158.048,2025-08-17,147.691,2025-01-05,Buy,31 Weeks,-6.55%,Rise by -10.2%,168.22%,Normal Case,
2025-02-02,154.097,2025-08-17,147.691,2016-02-21,Buy,28 Weeks,-4.16%,Rise by -2.16%,164.06%,Tangent Case,
2025-03-23,148.596,2025-08-17,147.691,2025-03-09,Buy,21 Weeks,-0.61%,Rise by 1.46%,163.45%,Normal Case,
2025-03-30,150.847,2025-08-17,147.691,2025-03-23,Buy,20 Weeks,-2.09%,Rise by -0.05%,161.36%,Normal Case,
2025-06-22,145.218,2025-10-26,152.602,2025-06-15,Buy,18 Weeks,5.08%,Rise by 6.01%,166.44%,Normal Case,
2025-06-29,144.694,2025-10-26,152.602,2025-06-22,Buy,17 Weeks,5.47%,Rise by 6.39%,171.91%,Normal Case,
2025-08-03,150.772,2025-10-26,152.602,2025-07-27,Buy,12 Weeks,1.21%,Rise by 2.1%,173.12%,Normal Case,
2025-08-24,148.386,2025-10-26,152.602,2025-08-17,Buy,9 Weeks,2.84%,Rise by 3.74%,175.96%,Normal Case,
2025-09-07,148.375,2025-09-07,148.375,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,175.96%,Normal Case,
2025-10-12,152.965,2025-10-12,152.965,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,175.96%,Normal Case,
2025-10-26,152.602,2025-10-26,152.602,2016-03-06,Buy,0 Weeks,0.0%,Rise by 0%,175.96%,Tangent Case,
